Pozycja,Forma podstawowa,Liczba wystąpień,Pierwsza litera etykiety
14531,cumować,5,B
14532,zakwaterowanie,5,A
14533,odwykowy,5,C
14534,baczyć,5,B
14535,pogłębiający,5,C
14536,wiertło,5,A
14537,uświadamiać,5,B
14538,przyniesiony,5,C
14539,parlamentaryzm,5,A
14540,samozwańczy,5,C
14541,kufer,5,A
14542,legionowy,5,C
14543,wnikliwie,5,F
14544,dorównać,5,B
14545,niewskazany,5,C
14546,problematyczny,5,C
14547,minerał,5,A
14548,listonoszka,5,A
14549,ząbek,5,A
14550,połamać,5,B
14551,medyk,5,A
14552,totolotek,5,A
14553,rozpracowanie,5,A
14554,uzgadnianie,5,A
14555,niepokojąco,5,F
14556,zachęcanie,5,A
14557,barka,5,A
14558,arbitraż,5,A
14559,zaprzepaścić,5,B
14560,zamalować,5,B
14561,najsłabiej,5,F
14562,entuzjasta,5,A
14563,dogłębny,5,C
14564,przewinąć,5,B
14565,czworonóg,5,A
14566,analogicznie,5,F
14567,święcone,5,A
14568,rekolekcje,5,A
14569,latimeria,5,A
14570,skalisty,5,C
14571,agregat,5,A
14572,uzdatnianie,5,A
14573,whisky,5,A
14574,emocjonować,5,B
14575,wystroić,5,B
14576,nieprawdopodobny,5,C
14577,święconka,5,A
14578,rezurekcja,5,A
14579,kultywowanie,5,A
14580,przesąd,5,A
14581,ugruntowany,5,C
14582,błonnik,5,A
14583,denerwować,5,B
14584,dźwig,5,A
14585,niewystarczająco,5,F
14586,archikatedralny,5,C
14587,staromiejski,5,C
14588,alleluja,5,A
14589,symbolika,5,A
14590,magnacki,5,C
14591,zastawić,5,B
14592,ozdobny,5,C
14593,gospodarować,5,B
14594,skopiowany,5,C
14595,trzymający,5,C
14596,pospiesznie,5,F
14597,punktualnie,5,F
14598,rościć,5,B
14599,polecony,5,A
14600,stempel,5,A
14601,włócznia,5,A
14602,zbroja,5,A
14603,grobowy,5,C
14604,nosorożec,5,A
14605,uścisnąć,5,B
14606,tęczowy,5,C
14607,głośniejszy,5,C
14608,gruczoł,5,A
14609,reanimacja,5,A
14610,prominent,5,A
14611,ho,5,G
14612,dziewięćdziesiąty,5,C
14613,ambulatoryjny,5,C
14614,wpuszczany,5,C
14615,uznaniowy,5,C
14616,mleczarnia,5,A
14617,ekonomistka,5,A
14618,oznakowany,5,C
14619,ferie,5,A
14620,ubyć,5,B
14621,zakwestionowany,5,C
14622,juliański,5,C
14623,wycofujący,5,C
14624,wynaleziony,5,C
14625,jard,5,A
14626,skromnie,5,F
14627,bestialsko,5,F
14628,przysłowiowy,5,C
14629,widokowy,5,C
14630,ciężkość,5,A
14631,autyzm,5,A
14632,pobożny,5,C
14633,wyrozumiałość,5,A
14634,demobilizacja,5,A
14635,zapładnianie,5,A
14636,objechać,5,B
14637,okrętowy,5,C
14638,pasażerka,5,A
14639,murawa,5,A
14640,zmora,5,A
14641,zmienność,5,A
14642,bólowy,5,C
14643,złudzenie,5,A
14644,współrzędna,5,A
14645,aktywacja,5,A
14646,klimatologia,5,A
14647,sprofanować,5,B
14648,dopingować,5,B
14649,ofiarność,5,A
14650,niezdatny,5,C
14651,turystka,5,A
14652,estetyka,5,A
14653,podrzucić,5,B
14654,wygłoszenie,5,A
14655,sfabrykowany,5,C
14656,gryźć,5,B
14657,tłumaczony,5,C
14658,oblężony,5,C
14659,apokalipsa,5,A
14660,kolektura,5,A
14661,wyciskanie,5,A
14662,zjadany,5,C
14663,liberalizować,5,B
14664,sygnalizator,5,A
14665,maratończyk,5,A
14666,zesłać,5,B
14667,zasypać,5,B
14668,porzucać,5,B
14669,marmurowy,5,C
14670,antyk,5,A
14671,drewniak,5,A
14672,opamiętanie,5,A
14673,opodatkować,5,B
14674,widełki,5,A
14675,abstrakcyjny,5,C
14676,magisterski,5,C
14677,humanista,5,A
14678,czternastoletni,5,C
14679,drozd,5,A
14680,napiętnować,5,B
14681,sześciokrotnie,5,F
14682,kuzynka,5,A
14683,upadać,5,B
14684,szkodzenie,5,A
14685,doznanie,5,A
14686,domyślać,5,B
14687,zwęglony,5,C
14688,sierść,5,A
14689,nora,5,A
14690,peryferie,5,A
14691,samostanowienie,5,A
14692,liberia,5,A
14693,hasać,5,B
14694,drugorzędny,5,C
14695,desperat,5,A
14696,wydzierżawić,5,B
14697,przyjeżdżający,5,C
14698,wyprosić,5,B
14699,dostatek,5,A
14700,łapanie,5,A
14701,piętnasty,5,C
14702,lekkoatletyka,5,A
14703,pogwałcić,5,B
14704,przyzwoity,5,C
14705,przypisujący,5,C
14706,donna,5,A
14707,drukowanie,5,A
14708,rozlokować,5,B
14709,kreatyna,5,A
14710,symulować,5,B
14711,bezsilny,5,C
14712,wybuchać,5,B
14713,komisyjny,5,C
14714,konsens,5,A
14715,junak,5,A
14716,odrodzić,5,B
14717,atom,5,A
14718,sączyć,5,B
14719,kwiatowy,5,C
14720,frans,5,A
14721,eksploatować,5,B
14722,niegospodarny,5,C
14723,patera,5,A
14724,peryferyjny,5,C
14725,hobby,5,A
14726,flet,5,A
14727,zawór,5,A
14728,pchnąć,5,B
14729,skorumpować,5,B
14730,pyton,5,A
14731,statua,5,A
14732,konkurujący,5,C
14733,przedterminowo,5,F
14734,śmietanka,5,A
14735,biegowy,5,C
14736,szlem,5,A
14737,zaprojektowanie,5,A
14738,sześćdziesiąty,5,C
14739,wdzięk,5,A
14740,katastrofalnie,5,F
14741,powieszenie,5,A
14742,splot,5,A
14743,zapamiętać,5,B
14744,akumulator,5,A
14745,uniewinniać,5,B
14746,epokowy,5,C
14747,opuszczający,5,C
14748,kodyfikacja,5,A
14749,dojeżdżać,5,B
14750,bola,5,A
14751,kompensacja,5,A
14752,niedostatecznie,5,F
14753,wytop,5,A
14754,godziwy,5,C
14755,kominiarz,5,A
14756,szesnastka,5,A
14757,buntownik,5,A
14758,osadniczy,5,C
14759,dorastać,5,B
14760,weryfikowany,5,C
14761,permanentny,5,C
14762,uwieńczony,5,C
14763,polio,5,A
14764,zrelacjonować,5,B
14765,pokrzywdzić,5,B
14766,foliowy,5,C
14767,siedmiolatek,5,A
14768,ostrożniejszy,5,C
14769,mewa,5,A
14770,wyżyna,5,A
14771,prawość,5,A
14772,żądza,5,A
14773,kolator,5,A
14774,niecierpliwość,5,A
14775,niezliczony,5,C
14776,kroczyć,5,B
14777,pakowanie,5,A
14778,jubiler,5,A
14779,wykonalny,5,C
14780,powtarzany,5,C
14781,nieodłączny,5,C
14782,lej,5,A
14783,miś,5,A
14784,strzelający,5,C
14785,wytyczony,5,C
14786,bezowocny,5,C
14787,współsprawca,5,A
14788,wzbogacony,5,C
14789,kolokwium,5,A
14790,leczący,5,C
14791,elektronik,5,A
14792,pasożyt,5,A
14793,przeniknąć,5,B
14794,odprężenie,5,A
14795,rzadszy,5,C
14796,zdradzać,5,B
14797,mafios,5,A
14798,zarabianie,5,A
14799,upragniony,5,C
14800,treściwy,5,C
14801,metalurgiczny,5,C
14802,żyła,5,A
14803,drabina,5,A
14804,podeszwa,5,A
14805,makulatura,5,A
14806,karli,5,C
14807,mądrze,5,F
14808,monastyr,5,A
14809,upieczony,5,C
14810,podmuch,5,A
14811,muzealnictwo,5,A
14812,sabat,5,A
14813,piękność,5,A
14814,podstołeczny,5,C
14815,brygadier,5,A
14816,tropienie,5,A
14817,junta,5,A
14818,pięciokilometrowy,5,C
14819,egiptolog,5,A
14820,muzykolog,5,A
14821,pyłek,5,A
14822,szeryf,5,A
14823,lotniskowiec,5,A
14824,podrywać,5,B
14825,paleobiologia,5,A
14826,pododdział,5,A
14827,żeglowanie,5,A
14828,niejeden,5,C
14829,wyrosnąć,5,B
14830,zniewolenie,5,A
14831,koleżeński,5,C
14832,zesłanie,5,A
14833,łokieć,5,A
14834,zastępczyni,5,A
14835,biofizyka,5,A
14836,śnieżka,5,A
14837,przezbrojenie,5,A
14838,przestudiowanie,5,A
14839,obiegowy,5,C
14840,niepłodność,5,A
14841,klęczeć,5,B
14842,wiertniczy,5,C
14843,doradzanie,5,A
14844,uniemożliwiający,5,C
14845,wyczuwać,5,B
14846,splądrować,5,B
14847,płynnie,5,F
14848,przysłużyć się,5,B
14849,wycie,5,A
14850,gwizdek,5,A
14851,powolność,5,A
14852,dyskonto,5,A
14853,wjeżdżający,5,C
14854,objazd,5,A
14855,poznawanie,5,A
14856,prowokowanie,5,A
14857,mobilny,5,C
14858,składowanie,5,A
14859,przodujący,5,C
14860,zagubić,5,B
14861,poprzedzony,5,C
14862,feministyczny,5,C
14863,represyjny,5,C
14864,realność,5,A
14865,zwyczajnie,5,F
14866,plazmowy,5,C
14867,narażanie,5,A
14868,ugryźć,5,B
14869,priorytetowo,5,F
14870,wytknąć,5,B
14871,wybranka,5,A
14872,upalnie,5,F
14873,korzenny,5,C
14874,niewidoczny,5,C
14875,upić,5,B
14876,rozmnażanie,5,A
14877,cumujący,5,C
14878,efektywniejszy,5,C
14879,nieścisłość,5,A
14880,projektantka,5,A
14881,wykoleić,5,B
14882,toń,5,A
14883,frontowy,5,C
14884,wędrujący,5,C
14885,wytrawny,5,C
14886,molestowany,5,C
14887,błogosławić,5,B
14888,metodyczny,5,C
14889,urazowy,5,C
14890,proklamowany,5,C
14891,stymulowanie,5,A
14892,złudny,5,C
14893,detonacja,5,A
14894,obydwoje,5,D
14895,uczciwej,5,F
14896,sfotografować,5,B
14897,emocjonujący,5,C
14898,wypranie,5,A
14899,rentowny,5,C
14900,independent,5,A
14901,kartuz,5,A
14902,wyczerpany,5,C
14903,uruchamianie,5,A
14904,odkładany,5,C
14905,ignorowanie,5,A
14906,nieźle,5,F
14907,domaganie się,5,A
14908,inżynieryjny,5,C
14909,ładny,5,C
14910,przypuścić,5,B
14911,schorowany,5,C
14912,używający,5,C
14913,służenie,5,A
14914,eliminowanie,5,A
14915,wysiedlony,5,C
14916,nordycki,5,C
14917,przepływający,5,C
14918,obsłużyć,5,B
14919,prognozowanie,5,A
14920,wampir,5,A
14921,chmara,5,A
14922,egoista,5,A
14923,ufortyfikowany,5,C
14924,rozgrzać,5,B
14925,najznakomitszy,5,C
14926,krwotoczny,5,C
14927,wyzwalać,5,B
14928,legalizujący,5,C
14929,synchroniczny,5,C
14930,pokrzyżować,5,B
14931,mizerny,5,C
14932,piśmiennictwo,5,A
14933,pożyczony,5,C
14934,cmentarny,5,C
14935,emerytka,5,A
14936,kanalizacyjny,5,C
14937,biernie,5,F
14938,ornament,5,A
14939,czyj,5,E
14940,genitalia,5,A
14941,rabowanie,5,A
14942,madera,5,A
14943,respekt,5,A
14944,kasacyjny,5,C
14945,wykazujący,5,C
14946,stwarzanie,5,A
14947,planowy,5,C
14948,prywatyzować,5,B
14949,insekt,5,A
14950,torf,5,A
14951,podkładać,5,B
14952,klimatyzacja,5,A
14953,audytorium,5,A
14954,przechwytujący,5,C
14955,przytomny,5,C
14956,kreska,5,A
14957,błyskotliwy,5,C
14958,wojownik,5,A
14959,leń,5,A
14960,rozprzestrzenić,5,B
14961,kalkulacja,5,A
14962,skrzywdzony,5,C
14963,pociecha,5,A
14964,stabilnie,5,F
14965,zmieniany,5,C
14966,nakłonienie,5,A
14967,konstatować,5,B
14968,surrealista,5,A
14969,wyzwiska,5,A
14970,przydzielony,5,C
14971,wypierać,5,B
14972,szkieletowy,5,C
14973,chcący,5,C
14974,schwytanie,5,A
14975,wiśnia,5,A
14976,utopia,5,A
14977,ostrość,5,A
14978,oligarchia,5,A
14979,szacowanie,5,A
14980,slogan,5,A
14981,spokojniej,5,F
14982,inwigilowany,5,C
14983,tryumf,5,A
14984,racjonalność,5,A
14985,nadrabianie,5,A
14986,przykuć,5,B
14987,magia,5,A
14988,pestka,5,A
14989,kobyli,5,C
14990,topić,5,B
14991,cząstkowy,5,C
14992,wzorowy,5,C
14993,miażdżący,5,C
14994,monopolizowanie,5,A
14995,saletra,5,A
14996,wpadać,5,B
14997,boleśnie,5,F
14998,synoptyk,5,A
14999,odrębność,5,A
15000,donator,5,A
15001,pożyczkowy,5,C
15002,zagospodarować,5,B
15003,komentowany,5,C
15004,skrytykowany,5,C
15005,zaostrzać,5,B
15006,zdeklasować,5,B
15007,skwitowanie,5,A
15008,czekanie,5,A
15009,syjonistyczny,5,C
15010,przetasowanie,5,A
15011,policzek,5,A
15012,nieomal,5,F
15013,mikrob,5,A
15014,zastanowienie,5,A
15015,notable,5,A
15016,przełamany,5,C
15017,spoglądać,5,B
15018,obłok,5,A
15019,reagujący,5,C
15020,pysk,5,A
15021,nieuwaga,5,A
15022,cieśla,5,A
15023,fama,5,A
15024,dąbrówka,5,A
15025,spóźnienie,5,A
15026,wyręczać,5,B
15027,darować,5,B
15028,reżym,5,A
15029,brud,5,A
15030,watra,5,A
15031,stępienie,5,A
15032,ingerowanie,5,A
15033,bitewny,5,C
15034,żołnierski,5,C
15035,śródmiejski,5,C
15036,wapienny,5,C
15037,wyrywkowo,5,F
15038,szew,5,A
15039,wyprzedać,5,B
15040,utrwalanie,5,A
15041,konserwatyzm,5,A
15042,odłam,5,A
15043,rekonwalescencja,5,A
15044,zadziwiać,5,B
15045,osobliwość,5,A
15046,glauberyt,5,A
15047,doradzić,5,B
15048,agencyjny,5,C
15049,tanio,5,F
15050,napór,5,A
15051,stykać,5,B
15052,nieprzejednany,5,C
15053,sułtan,5,A
15054,maść,5,A
15055,usankcjonowanie,5,A
15056,dziedzic,5,A
15057,nieprawdziwość,5,A
15058,wypłynięcie,5,A
15059,dwumetrowy,5,C
15060,zapisek,5,A
15061,logik,5,A
15062,widzący,5,C
15063,neutralizacja,5,A
15064,wieżowy,5,C
15065,zbieracz,5,A
15066,pielęgnować,5,B
15067,wrzawa,5,A
15068,unikat,5,A
15069,zaznaczony,5,C
15070,odwód,5,A
15071,łącznikowy,5,C
15072,najrzadziej,5,F
15073,beret,5,A
15074,powożenie,5,A
15075,antropologia,5,A
15076,sklepikarz,5,A
15077,pasztet,5,A
15078,aresztant,5,A
15079,wsiadać,5,B
15080,poradnictwo,5,A
15081,wiernie,5,F
15082,kurczenie,5,A
15083,nieprzerwany,5,C
15084,sfilmowany,5,C
15085,technolog,5,A
15086,miękko,5,F
15087,panamerykański,5,C
15088,wyjęty,5,C
15089,podmiotowość,5,A
15090,jawić się,5,B
15091,antyspołeczny,5,C
15092,odreagowywać,5,B
15093,pięćdziesiątka,5,A
15094,reklamowany,5,C
15095,kurhan,5,A
15096,zaaprobowanie,5,A
15097,spekulacyjny,5,C
15098,obora,5,A
15099,nerkowy,5,C
15100,ruchowy,5,C
15101,inicjał,5,A
15102,dentysta,5,A
15103,popromienny,5,C
15104,przebity,5,C
15105,asystentka,5,A
15106,kanapka,5,A
15107,bajanie,5,A
15108,western,5,A
15109,publicystka,5,A
15110,kilkutysięczny,5,C
15111,dezynfekcja,5,A
15112,cegła,5,A
15113,dachówka,5,A
15114,detektywistyczny,5,C
15115,potoczny,5,C
15116,przemówić,5,B
15117,absolwentka,5,A
15118,obrać,5,B
15119,okradanie,5,A
15120,skomponowany,5,C
15121,połowowy,5,C
15122,orszak,5,A
15123,ekspresja,5,A
15124,bratanek,5,A
15125,toaletowy,5,C
15126,latynoamerykański,5,C
15127,toto,5,A
15128,brydżysta,5,A
15129,ubliżać,5,B
15130,tuba,5,A
15131,wanna,5,A
15132,wsypać,5,B
15133,sprzątać,5,B
15134,szop,5,A
15135,unormować,5,B
15136,zwieść,5,B
15137,ambulans,5,A
15138,kondolencyjny,5,C
15139,odpłynąć,5,B
15140,pluralistyczny,5,C
15141,wypadkowa,5,A
15142,wzywanie,5,A
15143,szala,5,A
15144,pojawianie się,5,A
15145,podchodzenie,5,A
15146,potęgować,5,B
15147,zaburzenie,5,A
15148,kombajn,5,A
15149,zastawka,5,A
15150,folia,5,A
15151,kakaowy,5,C
15152,najdziwniejszy,5,C
15153,policzony,5,C
15154,powoływany,5,C
15155,sari,5,A
15156,skauting,5,A
15157,buddysta,5,A
15158,miodobranie,5,A
15159,chwycić,5,B
15160,złowić,5,B
15161,wbić,5,B
15162,liczebny,5,C
15163,om,5,A
15164,potop,5,A
15165,waleczny,5,C
15166,dożynkowy,5,C
15167,poranić,5,B
15168,dorsz,5,A
15169,urazić,5,B
15170,błagać,5,B
15171,opłynąć,5,B
15172,toczek,5,A
15173,ledwo,5,F
15174,ścienny,5,C
15175,płukanie,5,A
15176,offsetowy,5,C
15177,metaboliczny,5,C
15178,taryfikator,5,A
15179,zielenić się,5,B
15180,diaspora,5,A
15181,boso,5,F
15182,udawanie,5,A
15183,sprzedawczyni,5,A
15184,chluba,5,A
15185,nienormalny,5,C
15186,potencja,5,A
15187,kajtek,5,A
15188,wiarygodnie,5,F
15189,społecznik,5,A
15190,clown,5,A
15191,gwiazdkowy,5,C
15192,przykryty,5,C
15193,trafnie,5,F
15194,tornister,5,A
15195,przelatujący,5,C
15196,skiba,5,A
15197,analfabetyzm,5,A
15198,merostwo,5,A
15199,stajnia,5,A
15200,odliczanie,5,A
15201,arteria,5,A
15202,wymierny,5,C
15203,jod,5,A
15204,przeciwutleniacz,5,A
15205,jezuita,5,A
15206,konkurentka,5,A
15207,sprawnościowy,5,C
15208,klakson,5,A
15209,zamierzający,5,C
15210,nieważkość,5,A
15211,topnienie,5,A
15212,uśpiony,5,C
15213,wygrany,5,C
15214,wpuszczenie,5,A
15215,dodzwonić się,5,B
15216,uprawnić,5,B
15217,dorożka,5,A
15218,uwielbiać,5,B
15219,dowcipny,5,C
15220,wypas,5,A
15221,wielodzietność,5,A
15222,zmierzch,5,A
15223,ryk,5,A
15224,loch,5,A
15225,puszka,5,A
15226,blady,5,C
15227,przebadanie,5,A
15228,panteon,5,A
15229,podchorąży,5,A
15230,przeciwwaga,5,A
15231,elektroda,5,A
15232,wyizolować,5,B
15233,myć,5,B
15234,toga,5,A
15235,zesłaniec,5,A
15236,odsłaniać,5,B
15237,obrażony,5,C
15238,szybkostrzelny,5,C
15239,kasza,5,A
15240,dzięcioł,5,A
15241,nagan,5,A
15242,popielaty,5,C
15243,klipa,5,A
15244,całować,5,B
15245,wykroczyć,5,B
15246,bratowa,5,A
15247,stopnieć,5,B
15248,bagatelizować,5,B
15249,przeładunkowy,5,C
15250,załogowy,5,C
15251,najmocniejszy,5,C
15252,pijak,5,A
15253,bezczelny,5,C
15254,uzdrowiskowy,5,C
15255,apoteoza,5,A
15256,dogłębnie,5,F
15257,anulowany,5,C
15258,przezwyciężony,5,C
15259,nadpłynność,5,A
15260,zagościć,5,B
15261,bezkonkurencyjny,5,C
15262,poniżyć,5,B
15263,jedenaścioro,5,D
15264,zwierzyniec,5,A
15265,bankiet,5,A
15266,podważanie,5,A
15267,złocić,5,B
15268,wpłacanie,5,A
15269,umiłowanie,5,A
15270,produktywność,5,A
15271,przeładowany,5,C
15272,kopalina,5,A
15273,nokturn,5,A
15274,krokowy,5,C
15275,konserwa,5,A
15276,groza,5,A
15277,bynajmniej,5,F
15278,nienaruszalny,5,C
15279,liryczny,5,C
15280,pomysłowy,5,C
15281,rewolta,5,A
15282,harmonijka,5,A
15283,niedogodność,5,A
15284,półprzewodnik,5,A
15285,szwalnia,5,A
15286,uwypuklić,5,B
15287,instynkt,5,A
15288,odchudzenie,5,A
15289,bot,5,A
15290,parafowany,5,C
15291,przymocować,5,B
15292,nowinka,5,A
15293,pobytowy,5,C
15294,pięciogodzinny,5,C
15295,spisany,5,C
15296,najtragiczniejszy,5,C
15297,sklepik,5,A
15298,wzbogacać,5,B
15299,alimenty,5,A
15300,rozlokowanie,5,A
15301,tęcza,5,A
15302,ankieter,5,A
15303,zbuntować,5,B
15304,trojański,5,C
15305,przylegać,5,B
15306,buldożer,5,A
15307,armatni,5,C
15308,barbarzyństwo,5,A
15309,rozstrzelanie,5,A
15310,wiązka,5,A
15311,niezastąpiony,5,C
15312,odtwarzany,5,C
15313,detektyw,5,A
15314,instalowanie,5,A
15315,nieufny,5,C
15316,ostrzelanie,5,A
15317,ateistyczny,5,C
15318,dociągnąć,5,B
15319,obdarzony,5,C
15320,wybieranie,5,A
15321,nacjonalizacyjny,5,C
15322,pięciomiesięczny,5,C
15323,wypalać,5,B
15324,glinka,5,A
15325,znieważanie,5,A
15326,arkusz,5,A
15327,blanka,5,A
15328,klej,5,A
15329,przestawić,5,B
15330,osłonowy,5,C
15331,orientacyjny,5,C
15332,zacieśnić,5,B
15333,wystający,5,C
15334,saneczkarz,5,A
15335,jar,5,A
15336,fosfor,5,A
15337,projektodawca,5,A
15338,sprawniejszy,5,C
15339,przerażony,5,C
15340,potrafiący,5,C
15341,barbórka,5,A
15342,master,5,A
15343,saneczkarstwo,5,A
15344,błotny,5,C
15345,wyodrębnić,5,B
15346,dopisywać,5,B
15347,darowany,5,C
15348,ściekowy,5,C
15349,konsolidować,5,B
15350,dyskontować,5,B
15351,ustnie,5,F
15352,opłakany,5,C
15353,złożoność,5,A
15354,pociągnięty,5,C
15355,berlinka,5,A
15356,koral,5,A
15357,podwalina,5,A
15358,grożenie,5,A
15359,świecenie,5,A
15360,nieumiejętność,5,A
15361,szmata,5,A
15362,konstruktywnie,5,F
15363,intruz,5,A
15364,węgorz,5,A
15365,wiaderko,5,A
15366,popsuć,5,B
15367,dzwonnik,5,A
15368,kastor,5,A
15369,labrador,5,A
15370,cukiernica,5,A
15371,dobowy,5,C
15372,finalizacja,5,A
15373,hydrobudowa,5,A
15374,żebro,5,A
15375,multipleks,5,A
15376,rozbudowywać,5,B
15377,plafon,5,A
15378,łabędzi,5,C
15379,zdefiniowanie,5,A
15380,koliber,5,A
15381,integrator,5,A
15382,jasnowidz,5,A
15383,pogrzebany,5,C
15384,buffo,5,C
15385,konsekrowany,5,C
15386,biosfera,5,A
15387,nienaruszalność,5,A
15388,wodnik,5,A
15389,zamieć,5,A
15390,niesłychany,5,C
15391,kursujący,5,C
15392,niemądry,5,C
15393,symulator,5,A
15394,złocisty,5,C
15395,prototypowy,5,C
15396,czerpiący,5,C
15397,jakże,5,G
15398,kasetowy,5,C
15399,aferzysta,5,A
15400,więźniarka,5,A
15401,eskadra,5,A
15402,ciemniejszy,5,C
15403,kukiełka,5,A
15404,andrus,5,A
15405,wariat,5,A
15406,edykt,5,A
15407,dezynfekcyjny,5,C
15408,wolnocłowy,5,C
15409,troszkę,5,D
15410,numeryczny,5,C
15411,buława,5,A
15412,bolszewizm,5,A
15413,dżinsy,5,A
15414,przylatujący,5,C
15415,skompromitowany,5,C
15416,szeregowy,5,A
15417,bulwa,5,A
15418,paleontologiczny,5,C
15419,trutka,5,A
15420,dyngus,5,A
15421,kształcący,5,C
15422,nieskuteczność,5,A
15423,parowóz,5,A
15424,podwykonawca,5,A
15425,denaturat,5,A
15426,kandahar,5,A
15427,wyrywkowy,5,C
15428,głuchoniemy,5,A
15429,rzutek,5,A
15430,pochłaniacz,5,A
15431,kolasa,5,A
15432,kran,4,A
15433,naliczać,4,B
15434,gorączkowy,4,C
15435,wyhamować,4,B
15436,umiejętnie,4,F
15437,unieść,4,B
15438,sfederowany,4,C
15439,ganić,4,B
15440,odziedziczony,4,C
15441,wuj,4,A
15442,strategicznie,4,F
15443,aneksja,4,A
15444,odkrywanie,4,A
15445,szalenie,4,F
15446,filantrop,4,A
15447,dławić,4,B
15448,siostrzany,4,C
15449,uczniowski,4,C
15450,koleś,4,A
15451,przeciążony,4,C
15452,twoje,4,A
15453,odrzucający,4,C
15454,pensjonariusz,4,A
15455,manna,4,A
15456,lodówka,4,A
15457,zwalczyć,4,B
15458,domysł,4,A
15459,pięciolatek,4,A
15460,himalaista,4,A
15461,nieuchronnie,4,F
15462,zdążać,4,B
15463,załatwiany,4,C
15464,petit,4,A
15465,niezawodny,4,C
15466,mylący,4,C
15467,znacznik,4,A
15468,bawełna,4,A
15469,zademonstrowanie,4,A
15470,rozgoryczony,4,C
15471,poligrafia,4,A
15472,pianino,4,A
15473,przeciwstawny,4,C
15474,lekkośredni,4,C
15475,pomieszanie,4,A
15476,ośka,4,A
15477,rozmyślny,4,C
15478,wystraszyć,4,B
15479,pionek,4,A
15480,gdzieniegdzie,4,G
15481,powierzać,4,B
15482,gościniec,4,A
15483,rewelacyjny,4,C
15484,szybowiec,4,A
15485,jadać,4,B
15486,podpisywany,4,C
15487,pozbawiający,4,C
15488,władać,4,B
15489,doraźnie,4,F
15490,urwać,4,B
15491,nauczka,4,A
15492,wymalować,4,B
15493,kolidować,4,B
15494,reformujący,4,C
15495,koptyjski,4,C
15496,hemofilia,4,A
15497,efektowny,4,C
15498,wynagradzany,4,C
15499,pantera,4,A
15500,niezbicie,4,A
15501,puszczański,4,C
15502,centra,4,A
15503,grzebanie,4,A
15504,zbiornikowiec,4,A
15505,siarkowy,4,C
15506,rozdźwięk,4,A
15507,dyskretny,4,C
15508,eksponowanie,4,A
15509,narzeczony,4,A
15510,wypróbowany,4,C
15511,błona,4,A
15512,przeglądowy,4,C
15513,wpędzić,4,B
15514,wykrzykiwać,4,B
15515,krwawo,4,F
15516,stłumić,4,B
15517,pylon,4,A
15518,kulisa,4,A
15519,trwonić,4,B
15520,skoordynowany,4,C
15521,niegospodarnie,4,F
15522,przepowiadać,4,B
15523,encyklopedyczny,4,C
15524,niesprawność,4,A
15525,drżenie,4,A
15526,nabytek,4,A
15527,niniejszy,4,C
15528,uzależnianie,4,A
15529,wiarogodny,4,C
15530,izolowany,4,C
15531,widocznie,4,G
15532,sądownie,4,F
15533,podtrzymywany,4,C
15534,planetarium,4,A
15535,amfora,4,A
15536,zwolenniczka,4,A
15537,pośladek,4,A
15538,wyrwa,4,A
15539,rozproszenie,4,A
15540,heski,4,C
15541,leszczyna,4,A
15542,córa,4,A
15543,wstać,4,B
15544,satanizm,4,A
15545,diakrytyczny,4,C
15546,wymienny,4,C
15547,konfident,4,A
15548,ochraniany,4,C
15549,proteina,4,A
15550,manager,4,A
15551,uporządkowany,4,C
15552,najatrakcyjniejszy,4,C
15553,tunika,4,A
15554,noszony,4,C
15555,paradny,4,C
15556,ruski,4,C
15557,zaoczny,4,C
15558,produkowanie,4,A
15559,cyrkulacja,4,A
15560,mennica,4,A
15561,sygnatura,4,A
15562,kabat,4,A
15563,wzruszony,4,C
15564,farny,4,C
15565,obstawiać,4,B
15566,zakorzenienie,4,A
15567,cichociemny,4,A
15568,sadowy,4,C
15569,cudzy,4,C
15570,waloryzowany,4,C
15571,kotik,4,A
15572,naturalistyczny,4,C
15573,klasycyzm,4,A
15574,wroni,4,C
15575,pierog,4,A
15576,guru,4,A
15577,dostatni,4,C
15578,wstrząśnięty,4,C
15579,trakcyjny,4,C
15580,basista,4,A
15581,penetracja,4,A
15582,zabijany,4,C
15583,głodny,4,C
15584,niedbały,4,C
15585,płat,4,A
15586,przeszły,4,C
15587,magnetyzm,4,A
15588,rezus,4,A
15589,angielszczyzna,4,A
15590,zdetonowany,4,C
15591,schowany,4,C
15592,skatowany,4,C
15593,obwinić,4,B
15594,poszlakowy,4,C
15595,kruszenie,4,A
15596,zaniedbać,4,B
15597,niepamięć,4,A
15598,leśniczy,4,A
15599,wmurowany,4,C
15600,uznawanie,4,A
15601,rutyna,4,A
15602,palący,4,A
15603,pasjonat,4,A
15604,urealnienie,4,A
15605,nieszczęsny,4,C
15606,uwikłany,4,C
15607,zaniżać,4,B
15608,kawior,4,A
15609,połóg,4,A
15610,odżywczy,4,C
15611,wypiekać,4,B
15612,niekaralność,4,A
15613,nadrabiać,4,B
15614,przyrodni,4,C
15615,siedemnastolatek,4,A
15616,ewangelik,4,A
15617,wół,4,A
15618,demonstracyjnie,4,F
15619,subkontynent,4,A
15620,podszywać,4,B
15621,latarka,4,A
15622,odludny,4,C
15623,zawada,4,A
15624,zastęp,4,A
15625,jednoetapowy,4,C
15626,foczy,4,C
15627,gangsterski,4,C
15628,uduszony,4,C
